,jp,kana,en,lesson,book
78,,いいえ,No.; Not at all.,0,genki 1
1714,よろしくお願いします,よろしくおねがいします,Nice to meet you.,0,genki 1
1360,～番,～ばん,number . . .,1,genki 1
1358,半,はん,half,1,genki 1
472,九分,きゅうふん,nine minutes,1,genki 1
501,九時,くじ,nine o’clock,1,genki 1
568,～語,～ご,. . . language,1,genki 1
571,高校,こうこう,high school,1,genki 1
572,高校生,こうこうせい,high school student,1,genki 1
589,午後,ごご,p.m.,1,genki 1
595,五時,ごじ,five o’clock,1,genki 1
597,午前,ごぜん,a.m.,1,genki 1
619,五分,ごふん,five minutes,1,genki 1
654,～歳,～さい,. . . years old,1,genki 1
533,経済,けいざい,economics,1,genki 1
586,国際関係,こくさいかんけい,international relations,1,genki 1
346,学生,がくせい,student,1,genki 1
427,韓国,かんこく,Korea,1,genki 1
128,一分,いっぷん,one minute,1,genki 1
1746,歴史,れきし,history,1,genki 1
134,今,いま,now,1,genki 1
137,妹,いもうと,younger sister,1,genki 1
1728,留学生,りゅうがくせい,international student,1,genki 1
210,お母さん,おかあさん,mother,1,genki 1
1716,四分,よんぷん,four minutes,1,genki 1
1700,四時,よじ,four o’clock,1,genki 1
257,お父さん,おとうさん,father,1,genki 1
258,弟,おとうと,younger brother,1,genki 1
270,お兄さん,おにいさん,older brother,1,genki 1
272,お姉さん,おねえさん,older sister,1,genki 1
328,会社員,かいしゃいん,office worker,1,genki 1
1362,番号,ばんごう,number,1,genki 1
428,看護師,かんごし,nurse,1,genki 1
697,三分,さんぷん,three minutes,1,genki 1
692,三十分,さんじっぷん/さんじゅっぷん,thirty minutes,1,genki 1
957,大学,だいがく,college; university,1,genki 1
959,大学院生,だいがくいんせい,graduate student,1,genki 1
960,大学生,だいがくせい,college student,1,genki 1
1046,中国,ちゅうごく,China,1,genki 1
1474,弁護士,べんごし,lawyer,1,genki 1
1129,電話,でんわ,telephone,1,genki 1
1457,文学,ぶんがく,literature,1,genki 1
1185,友だち,ともだち,friend,1,genki 1
1216,七分,ななふん,seven minutes,1,genki 1
1217,何,なに/なん,what,1,genki 1
1244,二時,にじ,two o’clock,1,genki 1
