相変わらず,あいかわらず,as usual,読L22-II
,あいさつ,greetings,読L23-II
愛す,あいす,to love,読L14-II
,アイスクリーム,ice cream,会L3
間,あいだ,between,会L4
相手,あいて,partner; the other person,会L22
,アイロンをかける,to iron (clothes) ,会L16
会う,あう,to meet; to see (a person),会L4
,アウトドア,outdoor activities,読L11-II
青い,あおい,blue,"会L9, 会L9(e)"
青信号,あおしんごう,green light,会L9(e)
赤い,あかい,red,"会L9, 会L9(e)"
赤ちゃん,あかちゃん,baby,会L17
明るい,あかるい,bright,会L18
明るい,あかるい,cheerful,読L11-II
秋,あき,fall,会L10
,あきらめる,to give up ,会L14
開く,あく,(something) opens,会L18
開ける,あける,to open (something) ,会L6
,あげる,to give (to others) ,会L14
朝,あさ,morning,会L3
朝ご飯,あさごはん,breakfast,会L3
,あさって,the day after tomorrow,"会L4(e), 会L8"
朝寝坊する,あさねぼうする,to oversleep ,会L16
足,あし,leg; foot,"会L7(e), 会L12"
アジア研究,アジアけんきゅう,Asian studies,会L1
明日,あした,tomorrow,"会L3, 会L4(e)"
預け入れ,あずけいれ,deposit,会L13(e)
,あそこ,over there,会L2
遊ぶ,あそぶ,to play; to spend time pleasantly,会L6
暖かい,あたたかい,warm,会L10
頭,あたま,head,会L7(e)
頭がいい,あたまがいい,bright; smart; clever,会L7
新しい,あたらしい,new,会L5
,あちら,that way (polite),会L20
熱い,あつい,hot (thing),会L5
暑い,あつい,hot (weather),会L5
集める,あつめる,to collect ,会L16
後,あと,the rest,会L18
後,（〜の）あと,after (an event),"読L8-II, 会L11"
後で,あとで,later on,会L6
,アドバイス,advice,読L14-II
,アナウンス,announcement,読L13-III
,あなた,you,会L4
兄,あに,(my) older brother,会L7
,アニメ,animation,会L20
姉,あね,(my) older sister,会L7
,あの,that . . . (over there),会L2
,あのう,um . . .,会L1
,アパート,apartment; smaller apartment building,会L13
危ない,あぶない,dangerous,会L17
,アプリ,application,会L13
,アボカド,avocado,会L8(e)
甘い,あまい,sweet,会L12
天の川,あまのがわ,the Milky Way,読L12-II
,あまり ＋ negative,not much,会L3
編む,あむ,to knit,会L13
雨,あめ,rain,会L8
雨がやむ,あめがやむ,the rain stops,会L23
,アメリカ,U.S.A.,会L1
謝る,あやまる,to apologize,会L18
洗う,あらう,to wash,会L8
表す,あらわす,to express; to show,読L23-II
,ありがとう,Thank you.,会G
,ありがとうございます,Thank you. (polite),会G
,ある,there is . . .,会L4
,ある～,one . . .,読L12-II
歩いて,あるいて,on foot,会L10
歩く,あるく,to walk,会L12
,アルバイト,part-time job,会L4
,あれ,that one (over there),会L2
,アレルギー,allergy,"会L8(e), 会L12"
,アンケート,questionnaire,読L8-II
